time_s,depth_m,resistance_N_raw,resistance_N_filtered
0,-0,0,72.47259287
0.002499999944,0.0003750000033,47.02163696,73.09098489
0.004999999888,0.0007500000065,63.29071045,73.66674703
0.008750000037,0.001312499982,79.7072525,74.23926592
0.01015624963,0.001523437444,82.26667786,74.83692169
0.01226562541,0.001839843695,84.25350189,75.47434828
0.01542968769,0.002314453013,85.4050293,76.13155566
0.0201757811,0.003026367165,86.85819244,76.79230385
0.02729492262,0.004094238393,87.0319519,77.47398013
0.03797363117,0.005696044769,83.83764648,78.20615595
0.04865234345,0.007297851611,80.97792816,79.01319122
0.05132202059,0.007698303089,80.62623596,79.91510169
0.05232315138,0.007848472334,80.86694336,80.92789124
0.05269857496,0.007904785685,81.13008118,85.20269135
0.05326170847,0.007989256643,81.72741699,87.69375122
0.05410641059,0.008115962148,82.82704926,89.68670258
0.0553734675,0.008306019939,84.39941406,91.21188568
0.05727404729,0.008591107093,86.31060028,92.68700867
0.05917462707,0.008876194246,87.96128845,94.14426178
0.06107521057,0.009161281399,89.34651947,95.57574982
0.06392607838,0.009588912129,91.1075058,96.97621613
0.06820239127,0.01023035869,93.58184814,98.40478577
0.07461684942,0.0111925276,96.76796722,100.0072229
0.08423854411,0.01263578143,100.6590424,101.7860382
0.09867107868,0.01480066217,105.2348404,103.6032205
0.1040832847,0.01561249234,106.8700027,105.4472424
0.1122015864,0.01683023758,109.2981339,107.3413733
0.1243790388,0.01865685545,113.1144943,109.316333
0.1426452249,0.02139678225,117.8368301,111.2765964
0.1494950354,0.02242425457,119.1447525,113.2040952
0.1597697586,0.0239654649,120.6848297,115.1025458
0.1636227816,0.02454341762,121.1922302,117.0063538
0.1694023162,0.02541034855,121.8698502,118.9636771
0.1780716181,0.02671074308,122.7461929,120.8816333
0.1910755783,0.02866133489,123.8985748,122.7319928
0.2105814964,0.03158722445,125.4483109,124.4947226
0.2178962231,0.03268443421,126.0557938,126.1635593
0.2288683057,0.03433024511,126.9674911,127.7647589
0.2453264296,0.03679896519,128.4833527,129.4538388
0.2700136304,0.04050204158,131.1014099,131.0900012
0.2761854231,0.04142781347,131.8336334,132.6316422
0.2823572159,0.04235358164,132.5868835,134.0391833
0.2916149199,0.04374223575,133.7718658,135.4460989
0.305501461,0.04582521692,135.556488,136.8637357
0.3263312578,0.04894968867,138.2796021,138.3679044
0.331538707,0.04973080754,139.0564117,140.0214032
0.336746186,0.05051192641,139.8408356,141.7199655
0.3445573449,0.05168360472,140.8362122,143.503804
0.356274128,0.05344111845,142.3799591,145.4208746
0.3738492727,0.05607739091,145.2648315,147.5735043
0.3914244473,0.05871366709,149.0970001,149.7818597
0.3958182335,0.05937273428,150.2021942,152.0537231
0.4024088979,0.06036133692,151.6555176,154.2681854
0.4089995921,0.06134993955,153.0253601,156.5279266
0.4155902863,0.06233854219,154.3176422,158.8824146
0.4254763126,0.06382144243,156.1257477,161.3960461
0.4403053522,0.06604579836,158.7964478,163.9164856
0.4625489116,0.06938233227,163.2073212,166.4243738
0.470890224,0.07063353807,165.2102509,169.0448615
0.4834022224,0.07251033187,168.4945374,171.8813599
0.5021702051,0.07532553375,173.3750763,174.7798987
0.5303222537,0.07954833657,179.8715363,177.7435095
0.5408792496,0.08113188297,182.1763763,180.7753748
0.5567147136,0.08350721002,185.2799377,183.7327039
0.5626530647,0.08439795673,186.4629669,186.7701544
0.5715605021,0.0857340768,188.3271637,189.9165356
0.5849217176,0.08773826063,191.4490814,193.067005
0.604963541,0.09074453264,196.6126556,196.2548578
0.6124792099,0.09187187999,198.5674744,199.5222491
0.6237527132,0.09356290847,200.9768066,202.9390198
0.6406630278,0.09609945118,204.5686035,206.2731537
0.6660283804,0.09990426153,210.7532959,209.5606238
0.6755404472,0.1013310626,213.2996826,212.7658478
0.6898084879,0.1034712717,216.4702301,215.8515735
0.7112105489,0.1066815853,221.0614624,218.8015863
0.7192363143,0.1078854501,223.0302277,221.8783838
0.7312749624,0.1096912473,226.1384583,224.9231189
0.7493329644,0.1123999432,230.3150482,228.0535394
0.7561047077,0.1134157106,231.7870941,231.2962085
0.7662623525,0.1149393544,234.0139618,234.4828851
0.7814987898,0.11722482,237.8105316,237.5664014
0.804353416,0.1206530109,244.2157135,240.7391162
0.8129239082,0.1219385862,246.5606689,244.1059778
0.8161378503,0.1224206761,247.3970032,247.454873
0.8209587336,0.1231438145,248.6251373,250.7540503
0.8281900883,0.1242285147,250.518219,254.0256934
0.8390371203,0.1258555651,253.6218567,257.2791046
0.8553076982,0.1282961518,259.0963135,260.5049066
0.8614091277,0.1292113662,261.3983154,263.7099402
0.8705613017,0.1305841953,264.7234802,266.876427
0.8842895627,0.1326434314,269.3938904,270.0073859
0.8894376755,0.1334156543,271.1159973,273.2900745
0.8971598744,0.1345739812,273.7005615,276.8271552
0.9087430835,0.1363114566,277.8853455,278.4528478
0.926117897,0.1389176846,285.1483459,279.9414189
0.9326334596,0.1398950219,288.2909851,281.4587257
0.9424068332,0.141361028,293.2327271,283.0807125
0.9460718632,0.1419107765,295.0907593,284.8034912
0.9515693784,0.1427354068,297.8055115,286.6079792
0.9598156214,0.1439723372,301.7065125,288.4405416
0.96290797,0.1444361955,303.1560669,290.1666727
0.967546463,0.1451319754,305.3006287,291.964695
0.974504292,0.1461756378,308.5890198,293.780776
0.9849409461,0.1477411389,313.8543091,295.5226964
1,0.150000006,322.440979,297.4001347
