time_s,depth_m,resistance_N_raw,resistance_N_filtered
0,-0,-0,14.11060205
0.003045768011,4.854531355e-08,0.009899009019,17.14799626
0.006041603163,7.15252952e-07,0.09955418855,20.20389191
0.009037427604,3.404428753e-06,0.4287846386,23.19805804
0.01203322317,1.016044462e-05,1.233827829,26.12487246
0.01502895448,2.34481322e-05,2.797635078,28.9290207
0.01802457124,4.595489736e-05,5.431060791,31.66150578
0.02102000639,8.041455294e-05,9.449336052,34.18356888
0.02401517145,0.0001294528774,15.15640736,36.58937974
0.02700996771,0.0001954551553,22.82785034,38.85694671
0.03000427224,0.0002804556279,32.69925308,40.92256888
0.03304830194,0.0003880086006,42.77397156,42.84645552
0.03604236618,0.0005157103878,50.53024673,44.5618783
0.03903630003,0.0006657010526,56.63412094,47.8636532
0.04202885926,0.0008378943312,62.98643112,51.22269541
0.04502119496,0.001031767344,68.11054993,54.55063097
0.04801057652,0.001245997264,72.9539032,57.72209134
0.05104765669,0.001483023399,76.59954071,60.73423573
0.05402764305,0.00173252332,80.84623718,63.71708893
0.05700487643,0.00199616747,82.10276794,66.46557281
0.06002232432,0.002275383333,84.70559692,69.25226063
0.06303300709,0.00256325095,86.47585297,71.98523285
0.06603359431,0.002856662031,86.36625671,74.41651733
0.06903665513,0.00315434509,87.09584808,76.48096481
0.07204772532,0.003454815829,85.73202515,78.18146042
0.07502686977,0.003752687015,82.54437256,79.6432373
0.07801438868,0.004051438998,83.98595428,80.93589462
0.08100987226,0.004350987263,83.29794312,82.02370941
0.08402708918,0.004652708769,79.71529388,82.99222931
0.08701020479,0.004951020703,76.53743744,83.79559113
0.0900427103,0.005254270975,77.36896515,84.46569458
0.09300473332,0.005550472997,74.14315796,85.02577026
0.09603653103,0.00585365342,79.11653137,85.40234833
0.09900479764,0.006150479894,83.48071289,85.72536774
0.1020286903,0.006452869158,83.60996246,86.04130798
0.1050425917,0.006754259113,84.31044006,86.58803467
0.1080256179,0.007052561734,85.28636169,87.00491638
0.1110095084,0.007350950968,87.07466888,87.44912292
0.114020057,0.007652006112,88.95055389,88.14533173
0.117043227,0.007954322733,90.18180084,88.68639496
0.1200112849,0.008251128718,92.32354736,89.4375354
0.123013176,0.008551317267,93.03794861,90.41520691
0.126013279,0.008851327933,93.35212708,91.47966736
0.1290393174,0.009153931402,94.84812927,92.61090393
0.1320250779,0.009452507831,91.51721954,93.79972382
0.1350153536,0.009751535952,92.78108215,94.85260834
0.1380357295,0.01005357224,94.37435913,95.707948
0.141016677,0.01035166718,100.0344238,96.38181244
0.1440200955,0.01065201033,97.51789093,97.19608826
0.1470235288,0.01095235348,96.83718872,97.95413666
