time_s,depth_m,resistance_N_raw,resistance_N_filtered
0,-0,-0,14.07545073
0.003045584308,4.853375302e-08,0.009897112846,17.16363319
0.006050934549,7.195698686e-07,0.1001014858,20.195999
0.009054351598,3.429010121e-06,0.4317456484,23.17306171
0.01205732208,1.023777077e-05,1.242968321,26.09521741
0.01506019477,2.363050953e-05,2.819035053,28.92788642
0.01800176688,4.574184277e-05,5.406177044,31.65329972
0.02100461908,8.020244422e-05,9.424625397,34.23565282
0.02400747128,0.0001293059904,15.13932514,36.64285631
0.02701032348,0.0001954641048,22.82888985,38.8897874
0.03001317568,0.0002807384881,32.73209381,40.78759292
0.03301602975,0.0003867520136,42.20359039,42.59519695
0.03601888195,0.000514622312,50.64241028,44.17914634
0.03901370987,0.0006644855603,57.31000519,47.55770103
0.04201322049,0.0008369375137,62.64912033,50.92507156
0.04501296952,0.001031205407,67.82900238,54.17570983
0.04801443592,0.001246286556,72.84970856,57.50970588
0.05105832964,0.001483888482,77.08325958,60.65761135
0.05404805019,0.001734284335,80.71073914,63.82543253
0.05703472346,0.001998874824,83.30036163,66.94211147
0.0600152649,0.002274718136,84.78692627,69.86372112
0.06304629147,0.002564537339,86.07534027,72.57599236
0.06600067019,0.002853416605,82.53931427,74.94653671
0.06901606917,0.003152295947,84.17008972,77.05480911
0.07200144231,0.003450189484,82.19393158,78.77917404
0.0750118047,0.003751180833,84.46386719,80.16493179
0.07800085843,0.004050085787,84.19416046,81.40195938
0.08103722334,0.004353722092,81.36605835,82.45686401
0.08404135704,0.004654136021,83.78164673,83.36972778
0.08704667538,0.004954667762,79.94060516,84.128255
0.09000353515,0.005250353366,82.01456451,84.81480988
0.09302394092,0.005552394316,83.32315063,85.37112274
0.09603698552,0.005853698589,82.46486664,85.91298187
0.0990369916,0.006153699011,82.94610596,86.21724091
0.1020115316,0.006451152731,82.09249878,86.70845642
0.1050197557,0.00675197551,85.43890381,87.19589569
0.1080047637,0.007050476037,85.31271362,87.84079651
0.1110532358,0.007355323993,85.28635406,88.55379181
0.1140352711,0.007653526962,88.23569489,89.23335083
0.1170186922,0.007951868698,89.02173615,90.18323792
0.120016709,0.008251670748,90.65059662,91.06519257
0.1230073348,0.008550733328,91.8128891,91.92070587
0.1260414273,0.00885414239,94.24713135,93.01246124
0.1290115118,0.009151150472,94.61856079,94.06421387
0.1320010722,0.009450106882,96.8468399,95.08241364
0.1350161433,0.009751614183,92.3934021,96.13150696
0.1380183548,0.01005183626,98.35572815,97.18448334
0.1410375684,0.01035375707,94.72529602,98.23690186
0.1440365463,0.01065365411,100.2926102,99.23156525
0.1470023543,0.01095023565,100.0188141,100.2134827
0.1500280648,0.01125280652,101.4528427,101.1362094
0.1530167013,0.01155167073,107.9413376,102.0509857
0.1560076326,0.01185076404,103.4149246,102.938811
0.1590171754,0.01215171721,105.1694794,103.7048657
0.1620256156,0.01245256141,107.2344894,104.5951651
0.165031001,0.01275310013,108.3083801,105.3659137
0.1680294126,0.0130529413,108.7781448,106.109267
0.1710293442,0.0133529352,108.6921997,106.8117346
0.1740041673,0.01365041733,109.2705154,107.7038055
0.1770333201,0.01395333279,108.4029617,108.3751495
0.1800222695,0.01425222587,110.3054886,109.2385928
0.1830340326,0.01455340441,109.8606491,109.8969666
0.1860037595,0.01485037524,108.3545227,110.5860098
0.1890021414,0.01515021361,111.1051025,111.2774762
0.1920145899,0.01545145828,111.2173691,111.7058075
0.1950277835,0.01575277746,109.8019638,112.2866046
